timestamp,features,head_mode,eval_kind,manyup_ckpt,manyup_use_proj,epochs,lr,knn_k,batch_size,seed,test_miou,test_overall_acc,avg_epoch_sec
2026-07-02T23:12:55,oe_base_s2s1_ps4_tile64,lp_pa2pa_bu,,,,32,0.01,,32,0,0.49,0.79,4.97
2026-07-02T23:13:12,oe_base_s2_ps4_tile64,lp_pa2pa_bu,,,,32,0.01,,32,0,0.51,0.79,5.44
2026-07-02T23:16:14,oe_base_s2s1_ps4_tile64,lp_pa2px,,,,32,0.01,,32,0,0.48,0.79,4.74
2026-07-02T23:16:52,oe_base_s2_ps4_tile64,lp_pa2px,,,,32,0.01,,32,0,0.50,0.80,5.45
2026-07-02T23:22:43,oe_base_s2_ps2_tile32,lp_pa2pa_bu,,,,32,0.01,,32,0,0.53,0.81,15.67
2026-07-02T23:35:47,oe_base_s2s1_ps4_tile64,anyup,,,,32,0.01,,4,0,0.50,0.80,30.95
2026-07-02T23:36:44,oe_base_s2_ps4_tile64,anyup,,,,32,0.01,,4,0,0.52,0.80,31.87
2026-07-02T23:38:24,oe_base_s2_ps2_tile32,lp_pa2px,,,,32,0.01,,32,0,0.52,0.81,16.69
2026-07-03T00:31:18,oe_base_s2_ps2_tile32,anyup,,,,32,0.01,,4,0,0.54,0.81,82.06
2026-07-03T01:59:24,oe_base_s2_ps4_tile64,anyup_t1,,,,32,0.01,,4,0,0.53,0.81,263.22
2026-07-03T02:04:26,oe_base_s2s1_ps4_tile64,anyup_t1,,,,32,0.01,,4,0,0.51,0.80,274.25
2026-07-03T02:12:29,oe_base_s2_ps1_tile1,lp_pa2pa_bu,,,,32,0.01,,32,0,0.49,0.78,331.62
2026-07-03T02:27:48,oe_base_s2_ps1_tile8,lp_pa2pa_bu,,,,32,0.01,,32,0,0.51,0.81,357.88
2026-07-03T04:12:35,oe_base_s2_ps4_tile64,anyup_t2,,,,32,0.01,,4,0,0.53,0.81,245.12
2026-07-03T04:15:17,oe_base_s2s1_ps4_tile64,anyup_t2,,,,32,0.01,,4,0,0.51,0.80,240.66
2026-07-03T05:12:08,oe_base_s2_ps1_tile1,lp_pa2px,,,,32,0.01,,32,0,0.49,0.78,318.31
2026-07-03T05:42:33,oe_base_s2_ps1_tile8,lp_pa2px,,,,32,0.01,,32,0,0.51,0.81,346.08
2026-07-03T06:59:18,oe_base_s2_ps2_tile32,anyup_t1,,,,32,0.01,,4,0,0.54,0.82,720.96
2026-07-03T08:53:07,oe_base_s2_ps1_tile1,anyup,,,,32,0.01,,4,0,0.50,0.79,392.80
2026-07-03T09:28:41,oe_base_s2_ps1_tile8,anyup,,,,32,0.01,,4,0,0.54,0.81,402.43
2026-07-06T04:46:45,oe_base_s2s1_ps4_tile64,anyup_t1_ens,,,,32,0.01,,4,0,0.59,0.83,269.40
2026-07-06T04:48:53,oe_base_s2_ps4_tile64,anyup_t1_ens,,,,32,0.01,,4,0,0.60,0.83,272.87
2026-07-06T07:02:57,oe_base_s2s1_ps4_tile64,anyup_t2_ens,,,,32,0.01,,4,0,0.51,0.81,246.68
2026-07-06T07:06:53,oe_base_s2_ps4_tile64,anyup_t2_ens,,,,32,0.01,,4,0,0.53,0.81,252.06
2026-07-06T08:43:52,oe_base_s2_ps2_tile32,anyup_t1_ens,,,,32,0.01,,4,0,0.60,0.83,718.95
2026-07-07T14:47:49,oe_base_s2_ps4_tile8,lp_pa2pa_bu,,,,32,0.01,,32,0,0.48,0.78,6.31
2026-07-07T14:52:01,oe_base_s2_ps4_tile8,lp_pa2px,,,,32,0.01,,32,0,0.48,0.79,5.88
2026-07-07T14:53:26,oe_base_s2_ps2_tile8,lp_pa2pa_bu,,,,32,0.01,,32,0,0.51,0.80,11.21
2026-07-07T15:04:59,oe_base_s2_ps2_tile8,lp_pa2px,,,,32,0.01,,32,0,0.51,0.80,11.21
2026-07-07T15:11:51,oe_base_s2_ps4_tile8,anyup,,,,32,0.01,,4,0,0.51,0.80,30.94
2026-07-07T15:56:22,oe_base_s2_ps2_tile8,anyup,,,,32,0.01,,4,0,0.53,0.81,80.82
2026-07-07T17:27:54,oe_base_s2_ps4_tile8,anyup_t2,,,,32,0.01,,4,0,0.52,0.80,249.79
2026-07-08T11:30:34,oe_base_s2_ps4_tile64,manyup,,manyup_oe_base_s2_ps4_tile64_to_oe_base_s2_ps1_tile1_ep9.pth,False,20,0.01,,32,0,0.52,0.80,19.98
2026-07-08T11:37:29,oe_base_s2_ps4_tile64,manyup,,manyup_oe_base_s2_ps4_tile64_to_oe_base_s2_ps1_tile32_ep9.pth,False,20,0.01,,32,0,0.52,0.81,20.03
2026-07-08T11:43:58,oe_base_s2_ps4_tile64,manyup,,manyup_oe_base_s2_ps4_tile64_to_oe_base_s2_ps1_tile64_ep9.pth,False,20,0.01,,32,0,0.52,0.80,18.75
2026-07-08T11:58:48,oe_base_s2_ps4_tile32,lp_pa2pa_bu,lp,,,32,0.01,,32,0,0.50,0.79,5.26
2026-07-08T11:58:58,oe_base_s2_ps4_tile4,lp_pa2pa_bu,lp,,,32,0.01,,32,0,0.48,0.78,5.39
2026-07-08T11:59:11,oe_base_s2_ps4_tile8,lp_pa2pa_bu,lp,,,32,0.01,,32,0,0.48,0.78,5.65
2026-07-08T12:02:45,oe_base_s2_ps4_tile32,lp_pa2px,lp,,,32,0.01,,32,0,0.50,0.80,5.47
2026-07-08T12:03:28,oe_base_s2_ps4_tile8,lp_pa2px,lp,,,32,0.01,,32,0,0.48,0.79,5.44
2026-07-08T12:03:31,oe_base_s2_ps4_tile4,lp_pa2px,lp,,,32,0.01,,32,0,0.49,0.79,5.37
2026-07-08T12:04:46,oe_base_s2_ps2_tile8,lp_pa2pa_bu,lp,,,32,0.01,,32,0,0.51,0.80,10.18
2026-07-08T12:05:13,oe_base_s2_ps2_tile2,lp_pa2pa_bu,lp,,,32,0.01,,32,0,0.51,0.79,11.38
2026-07-08T12:06:53,oe_base_s2_ps2_tile64,lp_pa2pa_bu,lp,,,32,0.01,,32,0,0.52,0.81,13.71
2026-07-08T12:16:41,oe_base_s2_ps2_tile8,lp_pa2px,lp,,,32,0.01,,32,0,0.51,0.80,11.17
2026-07-08T12:17:10,oe_base_s2_ps2_tile2,lp_pa2px,lp,,,32,0.01,,32,0,0.50,0.79,10.89
2026-07-08T12:19:25,oe_base_s2_ps2_tile64,lp_pa2px,lp,,,32,0.01,,32,0,0.51,0.81,14.70
2026-07-08T12:23:19,oe_base_s2_ps4_tile32,anyup,lp,,,32,0.01,,4,0,0.52,0.80,32.82
2026-07-08T12:23:30,oe_base_s2_ps4_tile4,anyup,lp,,,32,0.01,,4,0,0.51,0.79,33.18
2026-07-08T12:23:31,oe_base_s2_ps4_tile8,anyup,lp,,,32,0.01,,4,0,0.51,0.80,33.20
2026-07-08T12:43:53,oe_base_s2_ps4_tile64,lp_pa2px_ens,lp,,,32,0.01,,32,0,0.58,0.82,26.02
2026-07-08T13:00:44,oe_base_s2_ps4_tile32,lp_pa2px_ens,lp,,,32,0.01,,32,0,0.58,0.82,25.00
2026-07-08T13:08:32,oe_base_s2_ps2_tile8,anyup,lp,,,32,0.01,,4,0,0.53,0.81,80.17
2026-07-08T13:09:26,oe_base_s2_ps2_tile2,anyup,lp,,,32,0.01,,4,0,0.51,0.80,82.17
2026-07-08T13:12:17,oe_base_s2_ps2_tile64,anyup,lp,,,32,0.01,,4,0,0.53,0.81,83.71
